"Genome ID","Genome Name","Version","ST","gapA","infB","mdh","pgi","phoE","rpoB","tonB"
"64e516401fa6f5887b65e6ef","123456789-11","202214121127-v3.2.1","258","3","3","1","1","1","1","79"
"64e516401fa6f5afd565e6ee","123456789-9","202214121127-v3.2.1","258","3","3","1","1","1","1","79"
